month,revenue,burn_rate,headcount,cac,ltv
2022-01,47723.35,97074.34,5,845.42,2488.34
2022-02,50879.18,95725.07,6,771.41,2491.63
2022-03,54441.37,98545.9,7,750.35,2743.24
2022-04,60007.65,99581.35,8,717.97,2663.76
2022-05,61982.75,102288.31,8,761.49,2931.79
2022-06,62514.77,98873.19,10,685.31,2917.54
2022-07,71920.67,104564.79,10,681.96,2974.42
2022-08,74948.43,100558.48,10,688.92,3033.09
2022-09,80160.28,99011.2,12,621.02,3247.37
2022-10,86709.37,105776.03,13,616.02,3534.47
2022-11,92979.51,106387.53,13,550.79,3608.57
2022-12,102905.88,112792.63,14,556.77,3735.71
2023-01,107710.0,113749.04,15,554.94,3532.13
2023-02,112518.7,109970.34,16,565.72,4036.25
2023-03,116038.74,117420.52,16,569.84,4175.0
2023-04,122444.96,113642.99,17,521.3,4196.73
2023-05,137564.53,117909.22,19,512.91,4350.56
2023-06,153024.02,118906.34,19,495.39,4607.11
2023-07,155452.21,121778.58,20,502.53,5035.37
2023-08,164943.73,125617.88,21,483.19,4817.4
2023-09,180567.97,126780.46,22,454.94,5103.09
2023-10,177745.3,127608.75,23,413.46,5591.06
2023-11,198914.55,130322.91,23,441.63,5506.99
2023-12,219217.12,131555.1,25,417.81,5736.62
