month,mrr_growth_pct,churn_rate_pct,nrr_pct,dau,mau
2022-01,18.12,5.32,98.18,320,3761
2022-02,16.11,5.45,99.98,419,5058
2022-03,17.46,4.73,102.19,377,4695
2022-04,15.35,4.93,100.83,510,6328
2022-05,17.46,4.98,100.21,554,6959
2022-06,16.0,5.0,104.45,647,7531
2022-07,18.34,5.03,105.54,836,9053
2022-08,15.54,4.44,105.49,864,9750
2022-09,16.44,3.96,108.91,1131,13556
2022-10,12.84,4.29,109.71,1118,12832
2022-11,13.85,4.16,108.51,1352,13706
2022-12,13.99,4.0,111.98,1482,16261
2023-01,15.29,3.49,112.11,1687,19519
2023-02,10.78,3.89,111.38,2036,24064
2023-03,13.59,3.43,115.48,2299,25103
2023-04,12.71,3.46,115.93,2728,29142
2023-05,13.44,3.48,116.08,2714,26595
2023-06,12.05,3.13,119.18,4011,39668
2023-07,10.86,2.89,120.33,4086,41799
2023-08,9.77,3.3,119.93,5256,54415
2023-09,8.5,2.57,122.6,5153,53031
2023-10,9.83,2.26,124.72,6433,62158
2023-11,8.97,2.23,123.33,8671,80019
2023-12,11.22,2.49,126.17,7961,74201
