week,market_size_bn,competitor_count,funding_news_count
2023-01-02,4.142,14,2
2023-01-09,4.257,14,6
2023-01-16,4.134,14,4
2023-01-23,4.258,13,3
2023-01-30,4.322,14,2
2023-02-06,4.401,14,2
2023-02-13,4.354,16,5
2023-02-20,4.425,15,3
2023-02-27,4.38,15,4
2023-03-06,4.388,14,3
2023-03-13,4.416,15,4
2023-03-20,4.551,14,3
2023-03-27,4.55,15,4
2023-04-03,4.549,15,3
2023-04-10,4.717,15,4
2023-04-17,4.573,17,4
2023-04-24,4.631,16,3
2023-05-01,4.64,14,2
2023-05-08,4.639,16,2
2023-05-15,4.791,15,2
2023-05-22,4.775,16,2
2023-05-29,4.655,16,4
2023-06-05,4.73,16,3
2023-06-12,4.796,14,5
2023-06-19,4.839,15,6
2023-06-26,4.758,17,3
2023-07-03,4.737,17,1
2023-07-10,4.78,18,3
2023-07-17,4.896,18,3
2023-07-24,4.92,15,1
2023-07-31,4.967,17,3
2023-08-07,4.937,15,4
2023-08-14,4.939,18,3
2023-08-21,4.924,17,2
2023-08-28,5.066,16,2
2023-09-04,5.094,18,6
2023-09-11,5.15,17,3
2023-09-18,5.165,15,2
2023-09-25,5.14,17,3
2023-10-02,5.242,17,5
2023-10-09,5.193,17,2
2023-10-16,5.192,17,4
2023-10-23,5.224,18,4
2023-10-30,5.246,16,4
2023-11-06,5.192,18,5
2023-11-13,5.333,19,2
2023-11-20,5.362,17,5
2023-11-27,5.357,18,2
2023-12-04,5.364,18,3
2023-12-11,5.444,17,5
2023-12-18,5.536,19,4
2023-12-25,5.477,18,3
